0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
110616,111409,112067,112662,115856,117389,118260,134140,138995,178441,195739,322153,352585,423566,528944,610639,877272,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110671,111403,112074,112656,113427,114700,115221,116164,118034,120963,124706,130273,137406,166005,172248,181287,206382,396428,441402,446152,529216,835494,-1,-1,-1,-1,-1,-1,-1
110698,111411,112084,112664,113435,113938,114697,115697,116366,118645,119575,122488,132021,138444,160956,362549,363445,388254,396191,412203,433574,437803,897765,932278,-1,-1,-1,-1,-1
110604,111341,112052,112664,117222,119118,123535,143094,193543,350826,435144,711173,844023,1137252,1188684,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110650,111405,111992,112670,113443,113944,115975,117151,118531,119052,128163,144397,155939,173993,205682,326775,327462,388028,443531,487626,776540,996705,-1,-1,-1,-1,-1,-1,-1
110625,111409,112073,112658,113441,115864,117892,120245,127529,148545,199523,760776,769509,863932,1244124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110648,111406,112077,112665,113426,116153,116867,117471,131729,132299,135882,143880,162575,173225,185625,191954,198783,220067,429385,472747,-1,-1,-1,-1,-1,-1,-1,-1,-1
110677,111368,111991,112670,113441,113941,114622,115863,117984,119337,122868,123445,135193,140779,191273,216288,271650,639752,1079895,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110684,111390,112069,112662,113444,116654,117539,118191,123850,127371,130801,165443,176550,179800,190226,202725,212744,425860,830478,964588,1041678,-1,-1,-1,-1,-1,-1,-1,-1
110615,111335,112067,112644,118190,131189,159381,1076600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110615,111390,111959,112637,113411,123678,352568,731299,963885,1044576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110599,111354,112069,112643,113422,118432,200602,210506,215322,453205,837599,1131079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110598,111386,112070,112649,118997,122710,202769,345370,423945,577805,706731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110613,111395,111985,112658,113436,118822,123203,157687,174662,215043,219955,220563,423675,487964,507155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110603,111353,112068,112653,115186,118202,121229,274433,822451,1025255,1120875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110596,111403,111979,112660,113434,119145,155066,209299,588276,625379,869727,913099,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110590,111351,112670,117945,164663,190910,442242,527224,810312,852738,954603,1012832,1165210,1234576,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110607,111402,112060,112644,117712,123231,189696,202826,311654,451119,617810,746366,859843,970001,976310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110597,111347,112654,195320,199086,227270,228520,425885,464256,520634,865360,879300,962728,1060289,1239762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110568,111380,112043,112633,113398,119800,122111,123487,541773,677862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110594,111399,112067,112650,113424,117715,118220,120489,128636,173596,426097,946441,1195235,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110601,111333,112065,112654,122513,127145,200536,213632,552537,576422,774009,837358,889734,901866,944050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110576,111358,112067,112646,113421,118437,122522,162483,166237,170370,171271,176823,182430,213845,673035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110598,111394,112064,112651,120051,126207,138195,180339,181111,212944,297158,535018,860524,898892,1065179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110587,111422,112670,224125,395936,1109290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110612,111393,111976,112657,113432,131255,211651,225851,228493,234382,237171,439766,478987,667753,961318,1039257,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110598,111356,112060,112642,122088,600653,979569,1090067,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110585,111397,112070,112651,113426,119118,780683,848398,959424,1038897,1172426,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110588,111416,112073,112659,113439,117833,118336,128689,129193,336064,379022,432299,771614,1048285,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110602,111402,112061,112654,113434,118696,119615,120965,122780,188559,194959,223239,360019,459287,485882,921934,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110609,111404,112075,112666,113433,118747,128425,508207,814828,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110658,111397,112060,112653,119002,123415,135454,137734,201648,446424,1087882,1213177,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110581,111402,112067,112654,113434,116134,119069,120844,143366,198706,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110592,111414,112079,112661,113434,113937,119153,121784,146407,218644,480024,501989,537280,1181139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110612,111419,112668,120594,121743,169660,186561,206331,266112,304122,404833,778465,966317,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110604,111395,112641,116223,117789,121342,160210,168039,337579,1032074,1202653,1236141,1244569,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110604,111406,112083,112662,113435,116949,121249,122056,162873,164127,252147,268835,272921,449545,1106815,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110585,111400,112072,112653,113424,113925,115841,119724,121240,192604,204314,214010,778583,867827,1147475,1152914,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110580,111400,112645,115546,117517,119981,127273,128463,193288,195601,255722,263836,409222,472870,591322,836292,921447,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
