0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
111617,117038,122121,127312,141876,148809,165751,172500,177745,183604,198213,203218,219439,699375,1079569,-1,-1,-1,-1,-1,-1,-1
111630,116777,126743,136059,142038,151640,162898,169204,174266,183747,190368,666963,780504,-1,-1,-1,-1,-1,-1,-1,-1,-1
110993,116048,124887,130250,135938,146112,151353,156362,163810,169550,174550,180540,191958,197500,525440,685442,1079115,1197411,-1,-1,-1,-1
111634,119061,125031,135498,145113,150785,159521,218215,228064,233662,255735,574623,798455,933248,-1,-1,-1,-1,-1,-1,-1,-1
111621,117656,122669,132755,140511,152290,157496,163302,170623,177831,183129,203653,213200,426870,632215,1003542,-1,-1,-1,-1,-1,-1
111646,116966,122028,128875,134712,142463,148968,154751,161278,167238,172972,181243,187550,195939,215191,454250,567254,755327,-1,-1,-1,-1
115705,121077,126643,134841,142456,148176,157060,163331,171472,179700,185941,196155,237188,494282,555013,803875,905911,-1,-1,-1,-1,-1
115165,120479,125647,133000,139512,144673,150010,155930,163793,169929,177710,193921,210647,464608,554735,715412,790581,-1,-1,-1,-1,-1
110996,116528,121808,130443,138510,143554,148928,155678,161357,178056,199690,205698,241572,675888,-1,-1,-1,-1,-1,-1,-1,-1
115629,123596,132755,141606,150420,156908,165987,173598,185629,196569,562926,855376,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115592,122327,131460,138489,145666,154698,160417,168188,174867,181600,190797,195823,201683,537927,1017269,1137548,-1,-1,-1,-1,-1,-1
111009,116227,122746,128910,135771,142876,148302,157826,163987,171093,177927,183405,195199,201350,209599,215584,247118,652898,920870,1030727,-1,-1
115154,122608,128813,136197,145263,151027,160934,177742,188868,669433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70399,115642,120845,126177,132662,139877,146536,152547,169988,225158,606147,1055796,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111634,117533,123354,138574,145806,153417,167854,176034,187609,194570,207430,214964,233003,592503,866820,1042336,-1,-1,-1,-1,-1,-1
110868,115882,124057,129103,134292,139316,146743,152383,162756,168563,183525,188928,200070,610090,635082,1201759,-1,-1,-1,-1,-1,-1
110946,116296,121310,126783,136176,142060,147064,154800,159840,167830,176445,204893,219145,227522,514244,768496,-1,-1,-1,-1,-1,-1
110927,116479,121798,130972,137243,145740,150925,160345,165844,171418,180158,187698,192719,199677,208888,224514,591461,781913,1093099,-1,-1,-1
111578,116985,122214,131975,137777,154453,159604,168514,174537,182876,192883,198737,205057,210340,645916,1050602,-1,-1,-1,-1,-1,-1
115679,121681,129036,137011,143918,148937,158288,164678,170294,177579,620775,943579,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110864,116200,121530,127702,136097,143111,149151,154784,161911,169420,176785,183545,188653,553708,882400,-1,-1,-1,-1,-1,-1,-1
110848,115892,123855,133072,141208,148174,154056,172941,178740,187680,193289,646005,884856,-1,-1,-1,-1,-1,-1,-1,-1,-1
111623,118583,123661,128939,134213,140866,150929,164820,177637,212570,624908,699422,1166464,-1,-1,-1,-1,-1,-1,-1,-1,-1
111648,116809,123126,128357,134262,140039,145194,154745,161949,168312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111655,121243,129457,148050,164862,181658,190285,195968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111615,116897,124728,137451,142632,149958,158383,166898,173729,229250,248913,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111632,116862,121875,127131,135311,143800,151142,159194,165159,198912,205448,220491,722767,-1,-1,-1,-1,-1,-1,-1,-1,-1
111631,116909,122448,127460,133235,139599,149536,155629,160938,166046,173496,183773,190316,197343,207044,-1,-1,-1,-1,-1,-1,-1
111621,119040,126817,132882,138226,144891,150577,158987,166505,173502,186569,265998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111623,116739,121746,127052,136640,144523,149989,158779,165933,174854,188209,194254,200618,206016,213767,219067,225024,558286,-1,-1,-1,-1
111635,116906,123172,128226,137773,145515,154085,161485,169189,177741,200093,869862,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
