0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
101809,111260,111764,112537,113316,113847,114472,115539,499038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105598,111391,111896,112451,113198,114087,114859,232015,285336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105065,111264,111767,112439,113119,114006,115262,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105927,111680,112262,113028,113657,114200,114824,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105009,111388,111892,112441,113027,113623,114137,115377,220708,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103922,111269,111772,112451,113038,113894,114413,115265,116582,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104371,111374,111880,112457,113041,113616,114574,115892,172231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105386,111272,111775,112444,113039,113645,114380,115188,115835,201685,1094632,-1,-1,-1,-1,-1,-1,-1,-1
105093,111397,112262,113132,113664,114202,114897,115568,756840,1146020,-1,-1,-1,-1,-1,-1,-1,-1,-1
105937,111275,111777,112453,113033,113742,114371,115072,121490,214453,-1,-1,-1,-1,-1,-1,-1,-1,-1
104405,111770,112452,113018,113519,114199,114991,117139,117731,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102587,111675,112254,112845,113411,114008,114697,115259,116115,324173,1099457,-1,-1,-1,-1,-1,-1,-1,-1
104750,111266,111768,112454,113034,113733,114355,114890,115738,116517,118457,132361,209826,313032,-1,-1,-1,-1,-1
105563,111274,111775,112450,113034,113614,114140,115085,116112,116811,123045,180136,197092,534414,-1,-1,-1,-1,-1
61383,104486,111700,112270,113079,113599,114611,115126,116432,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111676,112271,112853,113499,114004,114816,116136,675599,728372,1138995,-1,-1,-1,-1,-1,-1,-1,-1,-1
103819,111439,112257,113194,113724,114752,115960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103259,111277,111778,112279,113307,113814,114798,116037,381669,448363,-1,-1,-1,-1,-1,-1,-1,-1,-1
104878,111272,111772,112456,113031,113695,114482,115723,117622,912647,998356,-1,-1,-1,-1,-1,-1,-1,-1
104620,111687,112447,113126,113642,114302,115158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103395,106656,111315,111820,112496,112998,113855,114381,115023,115616,352976,450027,1077465,1148035,1162758,1235958,-1,-1,-1
104243,111284,111786,112471,113149,113728,114470,115472,116086,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103749,111392,112263,113041,113679,114188,114795,115651,117171,120452,146894,177445,420038,-1,-1,-1,-1,-1,-1
104535,111384,112144,113031,113799,114303,114888,115569,116983,197432,407935,445931,447545,-1,-1,-1,-1,-1,-1
103733,111773,112451,113040,113624,114294,115161,116127,117397,190738,-1,-1,-1,-1,-1,-1,-1,-1,-1
105405,111400,112078,112754,113319,113896,114979,116003,116523,117694,120865,824247,1169757,-1,-1,-1,-1,-1,-1
104876,111767,112445,113030,113644,114274,114782,115553,117289,121594,123995,197558,204323,409009,-1,-1,-1,-1,-1
103010,111288,111788,112290,112916,113643,114311,115296,116078,116580,1036430,-1,-1,-1,-1,-1,-1,-1,-1
104710,111766,112448,113142,113691,114370,114923,115496,116416,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103661,111768,112753,113604,114212,114880,115508,116167,118084,668735,-1,-1,-1,-1,-1,-1,-1,-1,-1
104453,111685,112260,112949,113710,114285,115209,121795,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111401,112259,112825,113327,113827,114493,115748,117363,118082,244531,433967,-1,-1,-1,-1,-1,-1,-1,-1
104483,111275,111776,112452,113090,113925,114785,115573,116346,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104185,111259,111764,112453,113245,113990,115038,117166,118433,474507,-1,-1,-1,-1,-1,-1,-1,-1,-1
111765,112447,113026,113594,114202,114779,115552,116184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104148,111387,112085,113022,113656,114809,115373,117249,121111,123918,791964,-1,-1,-1,-1,-1,-1,-1,-1
105401,111270,111773,112444,113370,114469,115356,117027,118590,189017,-1,-1,-1,-1,-1,-1,-1,-1,-1
104697,111403,112262,112861,113399,114219,115278,116759,118537,296921,389842,876366,-1,-1,-1,-1,-1,-1,-1
103461,111401,112277,112917,113623,114494,115247,115779,139005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111768,112271,112934,114021,114944,115553,116310,125492,972947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105340,111266,111766,112266,112952,113622,114617,115572,117138,118091,131927,173718,-1,-1,-1,-1,-1,-1,-1
104704,111758,112260,112844,113467,113975,114483,115535,117280,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102106,111775,112456,113154,113666,114307,115016,116057,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105663,111278,111779,112463,113031,113532,114103,114973,115765,116837,160125,365444,-1,-1,-1,-1,-1,-1,-1
