0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
103309,111837,112342,167377,932723,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104306,111384,111960,112596,113160,160296,200272,200992,-1,-1,-1,-1,-1,-1,-1
111837,112504,113042,114799,180236,431201,-1,-1,-1,-1,-1,-1,-1,-1,-1
105967,111393,111988,112569,113380,376201,-1,-1,-1,-1,-1,-1,-1,-1,-1
104718,111389,112002,112540,113239,114604,176497,180271,-1,-1,-1,-1,-1,-1,-1
105216,111449,111949,112549,113297,113852,-1,-1,-1,-1,-1,-1,-1,-1,-1
111857,112573,113478,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104777,111392,111978,112525,113419,113929,191959,347575,785741,-1,-1,-1,-1,-1,-1
105018,111508,112234,113066,153327,154931,158439,263579,618642,-1,-1,-1,-1,-1,-1
103075,111430,112004,112506,113481,152413,245225,325858,-1,-1,-1,-1,-1,-1,-1
101326,108367,111510,112083,112668,113221,182130,440419,1189183,-1,-1,-1,-1,-1,-1
111339,111844,112344,112945,114016,190901,201182,571168,-1,-1,-1,-1,-1,-1,-1
111664,112349,135481,162343,172084,203332,617736,-1,-1,-1,-1,-1,-1,-1,-1
111387,111936,112558,113338,160641,191269,213202,418900,-1,-1,-1,-1,-1,-1,-1
104287,111397,111951,112569,113136,170568,204469,293578,395806,458748,-1,-1,-1,-1,-1
111403,112003,113053,127901,162083,412097,-1,-1,-1,-1,-1,-1,-1,-1,-1
111561,112333,113293,140888,313268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111387,111981,112765,113323,208152,226322,265924,435884,522470,-1,-1,-1,-1,-1,-1
111397,112297,112948,113623,170807,177683,217566,365533,865700,-1,-1,-1,-1,-1,-1
105491,111345,111892,112778,113552,200732,382161,409178,-1,-1,-1,-1,-1,-1,-1
104618,111386,111942,112483,113032,204498,296402,688697,-1,-1,-1,-1,-1,-1,-1
111408,111957,112531,113221,113856,363334,637223,-1,-1,-1,-1,-1,-1,-1,-1
111392,112039,112563,113071,176393,537036,-1,-1,-1,-1,-1,-1,-1,-1,-1
111385,111905,112474,113241,113927,184142,198203,-1,-1,-1,-1,-1,-1,-1,-1
111412,112055,112600,113287,173971,357993,734553,-1,-1,-1,-1,-1,-1,-1,-1
111695,112296,113112,114663,256037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103398,111395,111974,112564,113346,168662,187481,188300,206655,420804,-1,-1,-1,-1,-1
105397,111383,111943,112475,113109,180015,188551,205741,219178,-1,-1,-1,-1,-1,-1
111336,111871,112636,113539,179661,180721,221203,643080,-1,-1,-1,-1,-1,-1,-1
104283,111432,111945,112740,113293,865221,-1,-1,-1,-1,-1,-1,-1,-1,-1
111382,111987,112595,113116,177726,220910,835651,-1,-1,-1,-1,-1,-1,-1,-1
111380,111930,112641,113453,467481,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104566,111388,111991,112553,113321,237563,379344,-1,-1,-1,-1,-1,-1,-1,-1
104427,111438,111979,112564,113232,167386,303729,-1,-1,-1,-1,-1,-1,-1,-1
111395,111898,112424,113285,194134,204408,-1,-1,-1,-1,-1,-1,-1,-1,-1
111387,111960,112537,113421,114686,115827,210192,-1,-1,-1,-1,-1,-1,-1,-1
105669,111403,111954,112568,113347,179852,414086,-1,-1,-1,-1,-1,-1,-1,-1
104813,111386,112339,113109,178452,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111404,112227,113052,193466,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111393,112299,112944,114118,169258,197309,220478,354193,655422,-1,-1,-1,-1,-1,-1
105033,111401,112225,112784,113475,161789,-1,-1,-1,-1,-1,-1,-1,-1,-1
111381,112024,112628,113230,428817,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102918,111377,112073,112696,113241,113918,115461,-1,-1,-1,-1,-1,-1,-1,-1
111696,112283,113068,113918,114963,441349,-1,-1,-1,-1,-1,-1,-1,-1,-1
106171,111391,111998,112524,113061,114106,173592,380469,-1,-1,-1,-1,-1,-1,-1
105153,111707,112298,113331,113894,115349,-1,-1,-1,-1,-1,-1,-1,-1,-1
111391,111958,112528,113071,114069,114791,712549,-1,-1,-1,-1,-1,-1,-1,-1
111379,111964,112803,113410,114611,213691,224951,235467,-1,-1,-1,-1,-1,-1,-1
111388,111982,112521,113336,113845,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104461,111389,111933,112473,113028,113937,316643,1193266,-1,-1,-1,-1,-1,-1,-1
102251,111333,111872,112552,113244,114020,188594,-1,-1,-1,-1,-1,-1,-1,-1
103652,111833,112344,113161,531754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104999,111404,112155,112874,812418,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104913,111395,111966,112649,113341,114018,-1,-1,-1,-1,-1,-1,-1,-1,-1
105270,111382,111973,112561,113334,114026,193767,-1,-1,-1,-1,-1,-1,-1,-1
111388,111979,112598,113126,186878,196084,-1,-1,-1,-1,-1,-1,-1,-1,-1
102662,111388,111991,112565,113065,156114,231821,-1,-1,-1,-1,-1,-1,-1,-1
111390,112094,112864,113925,180277,202849,285365,-1,-1,-1,-1,-1,-1,-1,-1
58120,105905,111388,111982,112569,113164,113674,202708,217749,466768,-1,-1,-1,-1,-1
105374,111453,112305,113241,146378,674508,-1,-1,-1,-1,-1,-1,-1,-1,-1
111465,112066,112576,113556,114160,185733,-1,-1,-1,-1,-1,-1,-1,-1,-1
104311,111872,112412,113018,113605,208787,-1,-1,-1,-1,-1,-1,-1,-1,-1
102925,111339,111842,112376,113153,168585,207055,226202,405346,661355,-1,-1,-1,-1,-1
111387,112082,112767,113368,165643,246315,318657,474086,698849,-1,-1,-1,-1,-1,-1
104905,111397,112045,112570,113078,453332,-1,-1,-1,-1,-1,-1,-1,-1,-1
111386,111987,112730,113241,113795,114611,-1,-1,-1,-1,-1,-1,-1,-1,-1
103276,111394,111994,112682,113243,268167,402040,-1,-1,-1,-1,-1,-1,-1,-1
104760,111576,112375,113281,114132,214880,326746,668157,-1,-1,-1,-1,-1,-1,-1
111394,112142,112684,113548,156733,166946,-1,-1,-1,-1,-1,-1,-1,-1,-1
103775,111499,112014,112567,113226,184165,197522,405277,631233,-1,-1,-1,-1,-1,-1
105565,111337,111862,112566,113293,115858,241165,242679,389120,-1,-1,-1,-1,-1,-1
104023,111394,111984,112528,113223,145219,645921,-1,-1,-1,-1,-1,-1,-1,-1
111383,112164,112675,113244,192702,201841,215586,275575,393063,-1,-1,-1,-1,-1,-1
105529,111384,111921,113242,215345,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111399,112035,112737,134684,179608,515395,-1,-1,-1,-1,-1,-1,-1,-1,-1
111382,112169,112671,113312,113914,165748,190192,322372,877134,-1,-1,-1,-1,-1,-1
111583,112334,112941,113581,152431,172062,-1,-1,-1,-1,-1,-1,-1,-1,-1
111479,112019,113341,174695,196763,460023,-1,-1,-1,-1,-1,-1,-1,-1,-1
111438,112175,112733,113322,113837,195553,318889,459159,-1,-1,-1,-1,-1,-1,-1
111384,111977,112566,113135,113842,187237,360479,-1,-1,-1,-1,-1,-1,-1,-1
111389,111946,112735,508066,590611,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111413,112017,112755,155319,523456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111445,112088,112817,196637,225259,432866,617680,-1,-1,-1,-1,-1,-1,-1,-1
