0,1,2,3,4,5,6,7,8,9,10,11
111487,116813,122210,137422,142565,151044,156212,-1,-1,-1,-1,-1
111495,116830,121897,139485,151312,156434,-1,-1,-1,-1,-1,-1
111452,116798,121892,135659,142413,151514,-1,-1,-1,-1,-1,-1
111455,116817,121949,129510,136938,147589,-1,-1,-1,-1,-1,-1
111513,116803,121805,137005,143581,151193,-1,-1,-1,-1,-1,-1
111471,116811,121891,133181,143322,148447,155412,-1,-1,-1,-1,-1
111483,116841,121883,136943,-1,-1,-1,-1,-1,-1,-1,-1
111471,116812,121841,134089,141043,152929,164680,-1,-1,-1,-1,-1
111492,116800,121944,139201,145423,156065,-1,-1,-1,-1,-1,-1
111960,117212,122341,141173,152241,157256,163009,174390,-1,-1,-1,-1
111491,116814,121858,136967,142418,151667,-1,-1,-1,-1,-1,-1
111502,116758,121818,133918,140509,145882,200937,-1,-1,-1,-1,-1
111435,116797,121818,142126,-1,-1,-1,-1,-1,-1,-1,-1
111481,116772,121843,138096,144198,-1,-1,-1,-1,-1,-1,-1
111480,116797,121862,134469,141285,146385,154027,162744,-1,-1,-1,-1
111499,116811,122020,131927,139973,145708,199743,-1,-1,-1,-1,-1
111938,117266,122389,127546,132617,140531,147252,156641,-1,-1,-1,-1
111506,116847,121984,130207,138578,147721,155255,162448,197423,-1,-1,-1
111497,116809,121945,130856,140357,149130,158496,-1,-1,-1,-1,-1
111496,116820,121868,134483,141229,147193,152471,172992,-1,-1,-1,-1
111507,116815,121820,129196,136579,152716,-1,-1,-1,-1,-1,-1
111497,116835,121877,126886,134775,142265,150915,-1,-1,-1,-1,-1
111489,116781,121802,138180,146578,156395,168793,187317,-1,-1,-1,-1
111467,116782,121908,138297,144668,153342,162271,-1,-1,-1,-1,-1
111475,116483,121570,134580,146215,-1,-1,-1,-1,-1,-1,-1
111491,116806,121844,136528,144060,153271,159442,194436,203882,-1,-1,-1
111481,116829,121897,130796,138021,145199,-1,-1,-1,-1,-1,-1
111485,116830,122253,128425,135818,141009,146814,-1,-1,-1,-1,-1
111485,116865,121995,134730,140090,150388,166162,-1,-1,-1,-1,-1
111496,116862,121990,129190,135003,140510,-1,-1,-1,-1,-1,-1
111445,116805,121994,141287,148887,-1,-1,-1,-1,-1,-1,-1
111490,116860,121923,137974,146914,156557,164555,174474,-1,-1,-1,-1
111490,116838,121844,142058,164438,170060,-1,-1,-1,-1,-1,-1
111487,116878,122202,130770,141735,-1,-1,-1,-1,-1,-1,-1
111491,116813,121823,131681,138543,144367,153168,165124,-1,-1,-1,-1
111490,116841,122218,134148,140620,146138,159294,-1,-1,-1,-1,-1
111457,116851,122338,129036,134452,144925,153737,159437,165818,-1,-1,-1
111486,116809,121842,131635,139826,145930,151017,162362,-1,-1,-1,-1
111473,116835,121852,136236,144493,150373,176404,184388,192583,-1,-1,-1
111510,116845,121974,133120,138831,145319,151455,156540,-1,-1,-1,-1
111497,116809,122122,133299,142588,154633,174937,-1,-1,-1,-1,-1
111491,116848,121910,137368,142398,150194,156274,167380,-1,-1,-1,-1
111485,116863,121900,133955,139480,145921,-1,-1,-1,-1,-1,-1
111498,116816,121961,137772,144685,150127,156045,164496,-1,-1,-1,-1
111501,116807,121833,133317,138478,148910,161983,170316,-1,-1,-1,-1
111497,116794,122066,134192,139522,145971,155247,162465,177365,-1,-1,-1
111511,116819,121881,135095,141542,146992,153965,160923,-1,-1,-1,-1
111504,116805,121898,135655,144809,154265,162714,176863,-1,-1,-1,-1
111500,116792,121894,131557,136766,144922,151431,159615,168980,-1,-1,-1
111514,116838,122007,135201,143438,150008,-1,-1,-1,-1,-1,-1
111480,116837,121850,135109,144443,149827,159171,-1,-1,-1,-1,-1
114093,119093,124219,134714,143069,153319,158474,166833,-1,-1,-1,-1
111479,116801,122693,127894,133923,139365,147138,-1,-1,-1,-1,-1
111479,116854,122022,132297,137495,144741,-1,-1,-1,-1,-1,-1
111506,116727,121788,136061,147279,152295,157640,-1,-1,-1,-1,-1
111492,116860,122123,131864,136866,142036,149794,156309,162746,167746,182213,201131
111494,116830,121847,126992,133331,139722,146808,-1,-1,-1,-1,-1
111477,116823,121943,131884,137594,148529,158830,-1,-1,-1,-1,-1
111477,116783,121841,130541,137939,147001,155313,-1,-1,-1,-1,-1
111490,116754,122131,142551,-1,-1,-1,-1,-1,-1,-1,-1
111456,116800,122227,137450,144290,-1,-1,-1,-1,-1,-1,-1
111447,116832,121874,142618,-1,-1,-1,-1,-1,-1,-1,-1
111460,116724,121790,136719,153101,-1,-1,-1,-1,-1,-1,-1
111462,116834,121920,135896,143523,152365,-1,-1,-1,-1,-1,-1
111488,116895,121936,127836,133543,138898,143933,-1,-1,-1,-1,-1
111462,116465,121587,129560,137768,143002,151292,158060,-1,-1,-1,-1
111481,116825,122103,140505,146076,153607,162605,-1,-1,-1,-1,-1
111462,116838,121885,136728,142387,150806,158844,-1,-1,-1,-1,-1
111455,116821,121887,133877,138894,147742,158596,171808,-1,-1,-1,-1
111466,116842,121893,136770,145714,153102,166942,177604,183017,-1,-1,-1
111499,116832,121836,134544,140022,148356,160435,167342,178491,-1,-1,-1
111501,116888,121941,131523,137510,145580,150656,156151,162356,-1,-1,-1
111499,116801,121867,133377,139372,148306,155682,162644,-1,-1,-1,-1
111475,116706,121740,146473,157463,-1,-1,-1,-1,-1,-1,-1
111492,116863,122105,129919,141043,147041,-1,-1,-1,-1,-1,-1
111493,116873,122935,138842,144812,153046,160919,166851,-1,-1,-1,-1
111494,116878,122030,146945,159112,164309,-1,-1,-1,-1,-1,-1
111502,116781,122158,136756,144303,152004,158199,187358,-1,-1,-1,-1
111495,116891,122067,140850,148165,154391,159568,166051,-1,-1,-1,-1
111475,116717,121736,135208,144879,155041,-1,-1,-1,-1,-1,-1
111484,116789,121831,143599,154229,-1,-1,-1,-1,-1,-1,-1
111473,116842,121870,139871,146333,154381,161451,174952,181040,-1,-1,-1
111511,116875,121955,135333,145014,156347,195090,-1,-1,-1,-1,-1
111503,116807,121832,126834,131837,141055,148874,158683,173858,-1,-1,-1
