0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
110551,111469,112342,112906,113516,114236,114847,115363,115932,116542,131995,133586,896476,-1,-1,-1,-1,-1,-1,-1,-1,-1
110588,111335,111875,112424,113228,113765,114352,115004,115809,117145,149115,207835,468357,-1,-1,-1,-1,-1,-1,-1,-1,-1
110592,111482,112156,112842,113450,113968,114491,115478,138242,141346,203456,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110567,111371,111979,112545,113181,464208,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110576,111189,111699,112301,113220,314117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110568,111273,111828,112405,114088,115380,137414,139815,140931,142280,148199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110584,111242,111763,112719,113634,114226,449712,511813,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110589,111570,112463,113222,113902,117844,240946,423500,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110573,111245,111947,112564,113334,113843,114492,115104,144341,370495,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110579,111264,111894,112684,113223,113743,114647,115239,115932,118300,139272,141246,142600,144660,154093,199757,305800,306345,466217,466756,-1,-1
110519,111306,111840,112416,113238,113877,114751,115387,116001,135799,145095,622348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110585,111269,111858,112595,113165,113862,114457,115130,614975,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110590,111242,111759,112364,112929,113494,114187,115031,115622,116139,133228,229992,398563,-1,-1,-1,-1,-1,-1,-1,-1,-1
110573,111318,111839,112638,113259,113872,114385,117906,118443,119137,133766,139218,254950,255525,256132,311288,373675,374221,374952,584629,585172,-1
110584,111305,111832,112523,113033,113593,114426,114984,115502,116240,116851,135876,251499,252001,252520,353185,474402,-1,-1,-1,-1,-1
110586,111320,112295,112832,113487,113999,114972,115494,116145,116708,152369,277430,277934,278446,462098,462635,463371,566930,-1,-1,-1,-1
110573,111314,112008,112524,113037,113599,114967,115503,116025,116573,257878,258414,258931,403163,437783,-1,-1,-1,-1,-1,-1,-1
110651,111250,111791,112330,113321,113903,114422,116731,117256,117903,133688,186724,228683,229219,323086,323626,544765,-1,-1,-1,-1,-1
110568,111263,111856,112552,113162,113682,114201,114888,115483,116002,116695,275032,275535,276052,506656,677083,-1,-1,-1,-1,-1,-1
110563,111245,111857,112450,112969,113874,114508,115199,119474,120058,120579,161148,209041,-1,-1,-1,-1,-1,-1,-1,-1,-1
110565,111180,111683,112227,112856,113465,113986,115146,115730,116422,1029026,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110569,111313,111858,112407,113080,113691,114301,117026,117610,118127,369914,370421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110587,111315,112203,112814,113333,114081,114691,115209,116928,117494,148503,156602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110580,111326,111870,112627,113563,114174,117029,117613,150365,154315,278884,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110583,111319,111832,112388,112963,113798,114468,115240,136552,307019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110570,111260,112203,112744,113247,113778,114340,115072,115683,116202,121005,186564,274906,-1,-1,-1,-1,-1,-1,-1,-1,-1
110584,111313,112055,112664,113299,113907,114426,115083,115638,116289,262356,265196,432204,432708,433225,828592,-1,-1,-1,-1,-1,-1
110554,111369,111979,112525,113037,113584,114107,115210,115804,116322,245202,280240,510371,-1,-1,-1,-1,-1,-1,-1,-1,-1
110573,111302,111823,112460,112961,113480,114017,114628,115320,136040,357727,358271,358787,-1,-1,-1,-1,-1,-1,-1,-1,-1
110652,111399,111945,112563,113065,113626,114275,115963,116548,117068,138259,140353,261058,261598,262199,433829,493377,493920,-1,-1,-1,-1
110663,111320,112127,112685,113422,114017,114893,115488,116003,138771,141296,142641,239044,-1,-1,-1,-1,-1,-1,-1,-1,-1
53039,110570,111641,112406,112962,113479,114174,114784,115435,132549,140071,268333,268909,372598,373135,-1,-1,-1,-1,-1,-1,-1
110606,111251,111751,112666,113276,113970,117777,118355,362998,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110554,111285,111816,112448,112986,113503,114070,114630,115290,115812,116462,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110609,111317,112145,112661,113312,113829,114420,114940,115588,136677,141045,1220160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110578,111196,111705,112210,113244,113853,114938,115464,730140,1020561,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110604,111259,111959,112530,113065,113718,114234,120521,121102,121625,137371,139973,197424,359640,360184,-1,-1,-1,-1,-1,-1,-1
110570,111307,111823,112626,113192,113799,114534,134932,384470,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110567,111187,111691,112345,112864,113589,114105,114950,129814,348210,434437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110625,111170,111682,112347,113049,115266,115832,116569,217175,287805,446945,447484,680263,-1,-1,-1,-1,-1,-1,-1,-1,-1
110589,111256,111981,112530,113323,113826,114413,115933,116528,133791,311062,311600,484169,484673,548841,-1,-1,-1,-1,-1,-1,-1
110663,111320,111969,112549,113203,113743,114265,136103,480223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110587,111688,112240,113159,113746,114694,115480,153298,232102,232645,441804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110586,111262,111797,112560,113108,114700,115240,117813,138706,248582,249124,331087,331627,552915,-1,-1,-1,-1,-1,-1,-1,-1
110581,111321,111842,112350,112885,113407,114059,114617,897584,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110691,111366,112144,112657,302899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110548,111235,111831,112348,306617,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110563,111365,111969,112485,113063,113620,130850,133287,136962,405419,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110638,111310,112217,112851,136738,763383,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110550,111234,112009,113050,113691,114196,131673,135913,136728,140293,143564,144810,1004512,-1,-1,-1,-1,-1,-1,-1,-1,-1
110569,111350,112218,112783,113286,152797,511293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110580,111321,111835,112336,112846,113581,114274,131527,147883,1155573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110561,111321,112231,113045,113659,256518,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110554,111333,112239,113063,113632,114380,129928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110627,111251,111796,112335,113040,115485,321742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110549,111250,111833,113042,148278,694548,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110540,111316,111828,112358,112911,113644,114527,889123,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110633,111320,112147,112661,113722,137328,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110520,111347,112128,113083,338883,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110583,111323,112149,112670,113698,114397,157948,163162,399746,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110544,111358,112005,112516,113561,134743,136496,137681,142198,942806,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110572,111269,111930,112778,113292,114181,144222,148416,154777,434919,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110587,111303,111813,112377,113162,114487,133397,136664,146120,413494,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110548,111331,111843,112800,113577,149728,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110557,111263,111835,112398,113157,114492,133214,135375,138318,141633,164631,643615,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110551,111226,111774,112898,133610,135210,136421,364156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110569,111271,111973,136043,141995,337425,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110551,111312,111860,112530,113134,113837,370360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110583,111259,111842,112452,113224,114326,135250,146195,386444,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110579,111313,112220,113715,136538,142932,662232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110605,111325,111833,112486,113217,113763,115166,619293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110599,111251,111777,112282,112917,113748,114298,1042671,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
